"Issuer","Reference","N# number (with link)","Title","Year","Gregorian year","Mintmark","Marks","References","Comment","Quantity","For exchange","Grade","From set","Buying price (USD)","Estimate (USD)","Private comment","Public comment"
"Austrian Empire","KM# T1","N# 7393","1 Thaler - Maria Theresia (Posthumous)","1780","1780","","","","All coins struck from 1781 to the present retain the 1780 year mark.","1","TRUE","AU","","","54.81","",""
"Belgium","KM# 26","N# 284","50 Centimes - Léopold II (French text)","1886","1886","","","Mor# 184","","1","TRUE","UNC","","","","",""
"Canada","KM# 1","N# 7984","1 Cent - Victoria","1859","1859","","","","Narrow 9. Quantity included in the above","1","TRUE","VF","","","5.55","",""
"Canada","KM# 7","N# 440","1 Cent - Victoria","1876","1876","H","","","","1","TRUE","AU","","","8.2","",""
"Canada","KM# 7","N# 440","1 Cent - Victoria","1881","1881","H","","","","1","TRUE","","","","","","Nice details, rev damage "
"Canada","KM# 7","N# 440","1 Cent - Victoria","1882","1882","H","","","Obverse 1 and 2","1","TRUE","F","","","3.87","",""
"Canada","KM# 7","N# 440","1 Cent - Victoria","1884","1884","","","","Obverse 1 and 2","1","TRUE","VG","","","3.42","",""
"Canada","KM# 7","N# 440","1 Cent - Victoria","1888","1888","","","","","1","TRUE","AU","","","15.74","",""
"Canada","KM# 7","N# 440","1 Cent - Victoria","1892","1892","","","","Obverse 2, 3 and 4","1","TRUE","AU","","","15.35","",""
"Canada","KM# 7","N# 440","1 Cent - Victoria","1901","1901","","","","","1","TRUE","VF","","","5.13","",""
"Canada","KM# 8","N# 439","1 Cent - Edward VII","1902","1902","","","","","1","TRUE","AU","","","5.87","",""
"Canada","KM# 8","N# 439","1 Cent - Edward VII","1904","1904","","","","","1","TRUE","F","","","3.14","",""
"Canada","KM# 8","N# 439","1 Cent - Edward VII","1906","1906","","","","","1","TRUE","AU","","","14.44","",""
"Canada","KM# 8","N# 439","1 Cent - Edward VII","1907","1907","","","","See comment section","1","TRUE","AU","","","14.89","",""
"Canada","KM# 8","N# 439","1 Cent - Edward VII","1907","1907","","","","See comment section","1","TRUE","F","","","2.82","",""
"Canada","KM# 8","N# 439","1 Cent - Edward VII","1910","1910","","","","","1","TRUE","XF","","","4.55","",""
"Canada","KM# 15","N# 438","1 Cent - George V (without ""DEI GRA"")","1911","1911","","","","","1","TRUE","AU","","","9.78","",""
"Canada","KM# 21","N# 437","1 Cent - George V (with ""DEI GRA"")","1912","1912","","","","","1","TRUE","XF","","","3.21","",""
"Canada","KM# 21","N# 437","1 Cent - George V (with ""DEI GRA"")","1913","1913","","","","","1","TRUE","AU","","","6.55","",""
"Canada","KM# 21","N# 437","1 Cent - George V (with ""DEI GRA"")","1915","1915","","","","","1","TRUE","AU","","","6.94","",""
"Canada","KM# 21","N# 437","1 Cent - George V (with ""DEI GRA"")","1916","1916","","","","","1","TRUE","AU","","","6","",""
"Canada","KM# 21","N# 437","1 Cent - George V (with ""DEI GRA"")","1917","1917","","","","","1","TRUE","AU","","","3.88","",""
"Canada","KM# 21","N# 437","1 Cent - George V (with ""DEI GRA"")","1918","1918","","","","","1","TRUE","UNC","","","27.33","",""
"Canada","KM# 21","N# 437","1 Cent - George V (with ""DEI GRA"")","1918","1918","","","","","1","TRUE","AU","","","6.07","",""
"Canada","KM# 21","N# 437","1 Cent - George V (with ""DEI GRA"")","1919","1919","","","","","1","TRUE","VF","","","1.83","",""
"Canada","KM# 21","N# 437","1 Cent - George V (with ""DEI GRA"")","1920","1920","","","","","1","TRUE","AU","","","7.94","",""
"Canada","KM# 28","N# 436","1 Cent - George V","1920","1920","","","","","1","TRUE","AU","","","3.88","",""
"Canada","KM# 28","N# 436","1 Cent - George V","1921","1921","","","","","1","TRUE","AU","","","14.37","",""
"Canada","KM# 29","N# 414","5 Cents - George V","1927","1927","","","","","1","TRUE","","","","","",""
"Canada","KM# 42","N# 408","5 Cents - George VI (without IND:IMP:)","1950","1950","","","","","1","TRUE","","","","","",""
"Canada","KM# 51","N# 386","10 Cents - Elizabeth II (1st portrait)","1954","1954","","","","With a fold on the shoulder","1","TRUE","UNC","","","29.86","","PCGS MS 63"
"Canada","KM# 67","N# 384","10 Cents - Elizabeth II (2nd portrait, Confederation; 80%)","1967","1967","","","","","1","TRUE","","","","","",""
"Canada","KM# 68","N# 367","25 Cents - Elizabeth II (2nd portrait, Confederation- 80%)","1967","1967","","","","Includes the .800 (km#68) and the .500 (km#68a) silver compositions.","1","TRUE","","","","","",""
"Canada","KM# 36","N# 311","50 Cents - George VI (with IND:IMP:)","1944","1944","","","","Wide date (far 4); see comments","1","TRUE","","","","","",""
"Canada","KM# 45","N# 310","50 Cents - George VI (without IND:IMP:)","1951","1951","","","","","1","TRUE","AU","","","25.48","",""
"Canada","KM# 56","N# 308","50 Cents - Elizabeth II (1st portrait, complete coat of arms)","1960","1960","","","","""White"" lower shield (no lines)","1","TRUE","UNC","","","22.74","",""
"Canada","KM# 63","N# 307","50 Cents - Elizabeth II (2nd portrait, silver)","1966","1966","","","","","1","TRUE","UNC","","","22.52","",""
"Canada","KM# 54","N# 453","1 Dollar - Elizabeth II (1st portrait)","1959","1959","","","","","1","TRUE","UNC","","","77.4","","ANACS MS 66 PL "
"Canada","KM# 54","N# 453","1 Dollar - Elizabeth II (1st portrait)","1962","1962","","","","","1","TRUE","UNC","","","46.87","",""
"Canada","KM# 54","N# 453","1 Dollar - Elizabeth II (1st portrait)","1963","1963","","","","","1","TRUE","UNC","","","51.54","",""
"Canada","KM# 55","N# 454","1 Dollar - Elizabeth II (British Columbia)","1958","1958","","","","","5","TRUE","UNC","","","43.64","",""
"Canada","KM# 64.1","N# 456","1 Dollar - Elizabeth II (2nd portrait)","1965","1965","","","","Small beads, pointed 5","1","TRUE","UNC","","","37.84","",""
"Germany, Federal Republic of","KM# 136","N# 3433","5 Deutsche Mark (Nicolaus Copernicus)","1973","1973","J","","","","1","TRUE","UNC","","","17.63","",""
"Netherlands East Indies","KM# 111","N# 6585","1 Duit (Utrecht)","1777","1777","","","KM# 111.1","mintmark: shield between dots","1","TRUE","","","","","",""
"Netherlands East Indies","KM# 111","N# 6585","1 Duit (Utrecht)","1786","1786","","","KM# 111.1","mintmark: shield between dots","1","TRUE","","","","","","NGC Genuine New York Penny"
"Mexico","KM# 109","N# 18852","8 Reales - Charles IV","1804","1804","TH","","","overdate variety exists","1","TRUE","","","","","","Nice details, has chopmarks"
"Mexico","KM# 479","N# 3855","25 Pesos (Olympic Games)","1968","1968","Mo","","KM# 479.1","see comments","1","TRUE","UNC","","","44.72","",""
"Philippines","KM# 180a","N# 4711","5 Centavos","1944","1944","","","","","1","TRUE","UNC","","","3.3","",""
"Philippines","KM# 181","N# 4712","10 Centavos","1945","1945","D","","","","1","TRUE","XF","","","5.43","",""
"Philippines","KM# 182","N# 7513","20 Centavos","1944","1944","D","","","","1","TRUE","VF","","","6.42","",""
"United Kingdom","KM# 813","N# 21182","3 Pence - George V (1st issue; incl. Maundy)","1920","1920","","","Sp# 4015","","1","TRUE","UNC","","","","",""
"United Kingdom","KM# 763","N# 11098","2 Florins - Victoria (2nd portrait; 'Double Florin')","1887","1887","","","Sp# 3922","Roman I","1","TRUE","","","","","","Holed "
"United States","KM# 22","N# 16940","1 Cent ""Draped Bust Cent""","1802","1802","","","PCGS# 1470,1471,1472, Greysheet# 798,799,800","","1","TRUE","","","","","","PCGS ENV Damage VG Detail "
"United States","KM# 45.1","N# 14203","1 Cent ""Liberty Head / Matron Head"" (Type 1)","1819","1819","","","PCGS# 1603,1604,1605, Greysheet# 889,890,891","large date","1","TRUE","","","","","","Heavily Corroded "
"United States","KM# 45.1","N# 14203","1 Cent ""Liberty Head / Matron Head"" (Type 1)","1831","1831","","","PCGS# 1681,1682,1683, Greysheet# 976,977,978","medium letters","1","TRUE","","","","","","holed/damaged "
"United States","KM# 45.2","N# 19856","1 Cent ""Liberty Head / Matron Head Modified"" (Type 2 Young Head)","1836","1836","","","","","1","TRUE","XF","","","","","PCGS ENV Damage - XF- Detail - Nice red color"
"United States","KM# 67","N# 982","1 Cent ""Liberty Head/Braided Hair Cent""","1846","1846","","","PCGS# 1865,1866,1867,1967,1968,1969, Greysheet# 1117,1118,1119,1126,1127,1128","small date","1","TRUE","VF","","","21.5","","PCGS VF Detaills ENV. Damage "
"United States","KM# 67","N# 982","1 Cent ""Liberty Head/Braided Hair Cent""","1848","1848","","","PCGS# 1883,1884,1885,1973,1974,1975, Greysheet# 1138,1139,1140,1141,1142,1143","The originals of the period have a large date, those with a small date are fakes.","1","TRUE","","","","","","Heavy Corrosion "
"United States","KM# 85","N# 14014","1 Cent ""Flying Eagle Cent""","1857","1857","","","PCGS# 2016, Greysheet# 15313","","1","TRUE","VF","","","44.24","",""
"United States","KM# 85","N# 14014","1 Cent ""Flying Eagle Cent""","1858","1858","","","PCGS# 2019, Greysheet# 15315","large letters","1","TRUE","VG","","","17.2","",""
"United States","Fuld# 203-218/408-416","N# 30397","Civil War Token - Flag of Our Union / Dix","1863","1863","","","","Variety 1","1","TRUE","UNC","","","","",""
"United States","KM# 94","N# 2296","2 Cents ""Union Shield""","1865","1865","","","PCGS# 3582,3585,3583,3584, Greysheet# 2680,70641,2681,2682","Fancy 5 or plain 5","1","TRUE","VF","","","17.24","",""
"United States","KM# 95","N# 5336","3 Cents ""Three Cent Nickel""","1865","1865","","","PCGS# 3731, Greysheet# 2767","","1","TRUE","VF","","","19.58","",""
"United States","KM# 95","N# 5336","3 Cents ""Three Cent Nickel""","1867","1867","","","PCGS# 3733, Greysheet# 2769","","1","TRUE","AU","","","45.54","",""
"United States","KM# 95","N# 5336","3 Cents ""Three Cent Nickel""","1874","1874","","","PCGS# 3742, Greysheet# 2777","","1","TRUE","VF","","","23.71","",""
"United States","KM# 95","N# 5336","3 Cents ""Three Cent Nickel""","1881","1881","","","PCGS# 3749, Greysheet# 2782","","1","TRUE","F","","","15.07","",""
"United States","KM# 76","N# 6846","½ Dime ""Seated Liberty Half Dime"" (arrows at date)","1853","1853","","","PCGS# 4356,4431,84431,94431, Greysheet# 3779,3890,3891,3892","","1","TRUE","AU","","","83.26","",""
"United States","KM# 112","N# 3683","5 Cents ""Liberty Nickel"" (with ""CENTS"")","1908","1908","","","PCGS# 3869, Greysheet# 2973","","1","TRUE","G","","","1.37","",""
"United States","KM# 134","N# 1109","5 Cents ""Buffalo Nickel"" (flat ground)","1916","1916","","","PCGS# 3930, Greysheet# 3081","","1","TRUE","VF","","","2.93","",""
"United States","KM# 192a","N# 45","5 Cents ""Jefferson Wartime Nickel"" (1st portrait)","1943","1943","P","","PCGS# 4018,4019,84018,84019, Greysheet# 3248,3244,3250,3245","","1","TRUE","F","","","1.87","",""
"United States","KM# 48","N# 21828","10 Cents ""Liberty Cap Dime"" (2nd variety)","1833","1833","","","PCGS# 4522,4555, Greysheet# 4003,4005","","1","TRUE","","","","","","JR-1 CUd Error"
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1896","1896","O","","PCGS# 4810, Greysheet# 4355","","1","TRUE","G","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1897","1897","","","PCGS# 4812, Greysheet# 4326","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1898","1898","","","PCGS# 4815, Greysheet# 4327","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1899","1899","","","PCGS# 4818, Greysheet# 4328","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1899","1899","S","","PCGS# 4820, Greysheet# 4362","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1900","1900","O","","PCGS# 4822, Greysheet# 4363","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1908","1908","","","PCGS# 4846, Greysheet# 4337","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1908","1908","S","","PCGS# 4849, Greysheet# 4383","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1909","1909","D","","PCGS# 4851, Greysheet# 4384","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1911","1911","D","","PCGS# 4858, Greysheet# 4389","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1913","1913","","","PCGS# 4863, Greysheet# 4342","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1913","1913","","","PCGS# 4863, Greysheet# 4342","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1914","1914","S","","PCGS# 4867, Greysheet# 4395","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1916","1916","","","PCGS# 4870, Greysheet# 4345","","1","TRUE","","","","","",""
"United States","KM# 113","N# 5830","1 Dime ""Barber Dime""","1916","1916","S","","PCGS# 4871, Greysheet# 4397","","1","TRUE","","","","","",""
"United States","KM# 64.1","N# 4942","¼ Dollar ""Seated Liberty Quarter"" (without motto)","1841","1841","O","","PCGS# 5400, Greysheet# 5167","KM# 64.2","1","TRUE","VG","","","","",""
"United States","KM# 78","N# 24992","¼ Dollar ""Seated Liberty Quarter"" (without motto, with rays and date arrows)","1853","1853","","","PCGS# 5425,5426,5427, Greysheet# 72434,5124,5177","","1","TRUE","G","","","26.19","","Rim dinged"
"United States","KM# 78","N# 24992","¼ Dollar ""Seated Liberty Quarter"" (without motto, with rays and date arrows)","1853","1853","","","PCGS# 5425,5426,5427, Greysheet# 72434,5124,5177","","1","TRUE","","","","","","Nearly smooth on both sides"
"United States","KM# 78","N# 24992","¼ Dollar ""Seated Liberty Quarter"" (without motto, with rays and date arrows)","1853","1853","","","PCGS# 5425,5426,5427, Greysheet# 72434,5124,5177","","1","TRUE","","","","","",""
"United States","KM# A64.2","N# 315915","¼ Dollar ""Seated Liberty Quarter"" (without motto, reduced weight)","1856","1856","","","","","1","TRUE","","","","","",""
"United States","KM# A64.2","N# 315915","¼ Dollar ""Seated Liberty Quarter"" (without motto, reduced weight)","1863","1863","","","","","1","TRUE","","","","","",""
"United States","KM# 114","N# 10591","¼ Dollar ""Barber Quarter""","1896","1896","S","","PCGS# 5615, Greysheet# 5422","","1","TRUE","","","","","","Heavily corroded on both sides but S is visible "
"United States","KM# 114","N# 10591","¼ Dollar ""Barber Quarter""","1907","1907","D","","PCGS# 5646, Greysheet# 5442","","1","TRUE","F","","","22.51","",""
"United States","KM# 114","N# 10591","¼ Dollar ""Barber Quarter""","1908","1908","D","","PCGS# 5650, Greysheet# 5445","","1","TRUE","","","","","",""
"United States","KM# 114","N# 10591","¼ Dollar ""Barber Quarter""","1908","1908","O","","PCGS# 5651, Greysheet# 5446","","1","TRUE","","","","","",""
"United States","KM# 114","N# 10591","¼ Dollar ""Barber Quarter""","1909","1909","","","PCGS# 5653, Greysheet# 5405","","1","TRUE","VG","","","19.67","",""
"United States","KM# 114","N# 10591","¼ Dollar ""Barber Quarter""","1916","1916","D","","PCGS# 5674, Greysheet# 5461","","1","TRUE","F","","","17.29","",""
"United States","KM# 145","N# 3573","¼ Dollar ""Standing Liberty Quarter"" (Stars Below Eagle)","1925","1925","","","PCGS# 5752,5753, Greysheet# 5551,5552","","1","TRUE","","","","","",""
"United States","KM# 145","N# 3573","¼ Dollar ""Standing Liberty Quarter"" (Stars Below Eagle)","1926","1926","","","PCGS# 5754,5755, Greysheet# 5553,5554","","1","TRUE","F","","","15.4","",""
"United States","KM# 145","N# 3573","¼ Dollar ""Standing Liberty Quarter"" (Stars Below Eagle)","1926","1926","D","","PCGS# 5756,5757, Greysheet# 5591,5592","","1","TRUE","","","","","",""
"United States","KM# 145","N# 3573","¼ Dollar ""Standing Liberty Quarter"" (Stars Below Eagle)","1927","1927","","","PCGS# 5760,5761, Greysheet# 5555,5556","","1","TRUE","","","","","",""
"United States","KM# 145","N# 3573","¼ Dollar ""Standing Liberty Quarter"" (Stars Below Eagle)","1927","1927","D","","PCGS# 5762,5763, Greysheet# 5595,5596","","1","TRUE","","","","","",""
